2025-02-22 23:21:03 | ERROR | Test error
2025-02-22 23:55:29 | INFO | Surpass token limit: 200
2025-02-22 23:55:31 | INFO | Surpass token limit: 200
2025-02-22 23:55:31 | INFO | Surpass token limit: 200
2025-02-22 23:55:45 | INFO | Surpass token limit: 200
2025-02-22 23:55:45 | INFO | Surpass token limit: 200
2025-02-22 23:55:47 | INFO | Surpass token limit: 200
2025-02-22 23:55:47 | INFO | Surpass token limit: 200
2025-02-22 23:56:04 | INFO | Surpass token limit: 200
2025-02-22 23:56:28 | INFO | Surpass token limit: 200
2025-02-22 23:56:28 | INFO | Surpass token limit: 200
2025-02-22 23:56:46 | INFO | Surpass token limit: 200
2025-02-22 23:56:46 | INFO | Surpass token limit: 200
2025-02-22 23:57:03 | INFO | Surpass token limit: 200
2025-02-22 23:57:03 | INFO | Surpass token limit: 200
2025-02-22 23:57:13 | INFO | Surpass token limit: 200
2025-02-22 23:57:13 | INFO | Surpass token limit: 200
2025-02-22 23:57:28 | INFO | Surpass token limit: 200
2025-02-22 23:57:28 | INFO | Surpass token limit: 200
2025-02-22 23:57:43 | INFO | Surpass token limit: 200
2025-02-22 23:57:43 | INFO | Surpass token limit: 200
2025-02-22 23:57:56 | INFO | Surpass token limit: 200
2025-02-22 23:57:56 | INFO | Surpass token limit: 200
2025-02-22 23:58:16 | INFO | Surpass token limit: 200
2025-02-22 23:58:16 | INFO | Surpass token limit: 200
2025-02-22 23:58:33 | INFO | Surpass token limit: 200
2025-02-22 23:58:33 | INFO | Surpass token limit: 200
2025-02-22 23:58:48 | INFO | Surpass token limit: 200
2025-02-22 23:59:31 | INFO | Surpass token limit: 200
2025-02-22 23:59:45 | INFO | Surpass token limit: 200
2025-02-22 23:59:45 | INFO | Surpass token limit: 200
2025-02-23 00:00:00 | INFO | Surpass token limit: 200
2025-02-23 00:00:00 | INFO | Surpass token limit: 200
2025-02-23 00:00:15 | INFO | Surpass token limit: 200
2025-02-23 00:00:15 | INFO | Surpass token limit: 200
2025-02-23 09:45:50 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8021/chat
2025-02-23 09:45:50 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8021/chat
2025-02-23 09:48:49 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8021/chat
2025-02-23 10:05:02 | INFO | Surpass token limit: 2000
2025-02-23 11:18:24 | INFO | Surpass token limit: 300
2025-02-23 12:29:00 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8031/chat
2025-02-23 12:29:00 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8031/chat
2025-02-23 12:29:11 | ERROR | 500 Server Error: Internal Server Error for url: http://10.101.100.11:8031/chat
2025-02-23 12:29:11 | ERROR | 500 Server Error: Internal Server Error for url: http://10.101.100.11:8031/chat
2025-02-23 12:29:33 | ERROR | 500 Server Error: Internal Server Error for url: http://10.101.100.11:8031/chat
2025-02-23 12:29:33 | ERROR | 500 Server Error: Internal Server Error for url: http://10.101.100.11:8031/chat
2025-02-23 13:16:26 | ERROR | 'Request' object has no attribute 'scenario_name'
2025-02-23 13:17:51 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8031/chat
2025-02-28 10:56:45 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8025/chat
2025-02-28 14:51:05 | ERROR | HTTPConnectionPool(host='10.101.100.11', port=8021): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D5A71933E0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-02-28 15:09:56 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8025/chat
2025-02-28 15:13:03 | ERROR | '\n    "检查结论"'
2025-02-28 15:13:03 | ERROR | '\n    "检查结论"'
2025-02-28 15:23:19 | ERROR | '\n    \\"检查结论\\"'
2025-02-28 15:36:21 | ERROR | 500 Server Error: Internal Server Error for url: http://10.101.100.11:8021/chat
2025-02-28 15:40:39 | ERROR | list index out of range
2025-02-28 15:40:39 | ERROR | list index out of range
2025-02-28 15:44:16 | ERROR | list index out of range
2025-02-28 15:44:16 | ERROR | list index out of range
2025-02-28 16:19:01 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8025/chat
2025-02-28 16:19:01 | ERROR | 502 Server Error: Bad Gateway for url: http://10.101.100.11:8025/chat
